name,latitude,longitude,category,destination,description,products,priceFromVnd,available,starRating,url,imageUrl,locationSource,locationPrecision,warning,googleMapsUrl,placeKey
Chùa Thiên Mụ,16.453178,107.544833,Vui chơi,Huế,"mở cửa 07:00–17:30 · Chùa Thiên Mụ. Loại hình: Thắng cảnh lịch sử. Địa chỉ: Kim Long, Huế 532761, Việt Nam. Giờ mở cửa: 07:00–17:30. Thời gian tham quan đề xuất: 1–2 tiếng đồng hồ",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/thien-mu-pagoda-84581/,https://ak-d.tripcdn.com/images/0104i12000p3j3abbD741.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.453178%2C107.544833,product:df24a0a0-cb00-5584-bc65-51eeb13cbc19
Chùa Từ Hiếu,16.438878,107.572025,Vui chơi,Huế,"mở cửa Mở cửa cả ngày · Chùa Từ Hiếu. Loại hình: Thắng cảnh lịch sử. Địa chỉ: CHP9+HVR Duong Xuan Thuong III village, Thủy Xuân, Huế, Việt Nam. Giờ mở cửa: Mở cửa cả ngày",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/tu-hieu-pagoda-58312533/,https://ak-d.tripcdn.com/images/0ww0112000colcq9i92FE.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.438878%2C107.572025,product:076a3d89-66a1-5098-8b61-18017ab52d74
Cung An Định,16.456656,107.598282,Vui chơi,Huế,"mở cửa 07:00–17:00 · Cung An Định. Loại hình: Thắng cảnh lịch sử. Địa chỉ: 179 Phan Đình Phùng, Thuận Hóa, Huế, Việt Nam. Giờ mở cửa: 07:00–17:00",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/an-dinh-palace-55804020/,https://ak-d.tripcdn.com/images/0ww0112000cref2uj4860.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.456656%2C107.598282,product:82077a1c-86bd-5efc-bb46-aa43131a8537
Đầm Lập An,16.221422,108.061563,Vui chơi,Huế,"mở cửa Mở cửa cả ngày · Đầm Lập An. Loại hình: Phong cảnh thiên nhiên. Địa chỉ: Chân Mây - Lăng Cô, Huế 49000, Việt Nam. Giờ mở cửa: Mở cửa cả ngày. Thời gian tham quan đề xuất: 1–2 tiếng đồng hồ",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/lap-an-lagoon-136699028/,https://ak-d.tripcdn.com/images/0HJ7212000h0fs0f76376.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.221422%2C108.061563,product:823df944-b568-5748-a375-f13a58e07686
Đèo Hải Vân,16.2,108.133333,Vui chơi,Huế,"mở cửa 04:00–18:00 · Đèo Hải Vân. Loại hình: Leo núi. Địa chỉ: Chân Mây - Lăng Cô, Tp. Huế, Huế, Việt Nam. Giờ mở cửa: 04:00–18:00. Thời gian tham quan đề xuất: 1–2 ngày",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/hai-van-mountain-96727/,https://ak-d.tripcdn.com/images/10010z000000nvlzj7E35.jpg,trip.com,exact,cách tâm Huế 65 km,https://www.google.com/maps/search/?api=1&query=16.200000%2C108.133333,product:5bee6eea-f510-5539-8d2e-f121b101a683
Đồi Vọng Cảnh,16.427217,107.564939,Vui chơi,Huế,"mở cửa Mở cửa cả ngày · Đồi Vọng Cảnh. Địa chỉ: 102 Huyền Trân Công Chúa, Thủy Xuân, Huế, Việt Nam. Giờ mở cửa: Mở cửa cả ngày",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/vong-canh-hill-50555709/,https://ak-d.tripcdn.com/images/0HJ0k12000h0356058FE1.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.427217%2C107.564939,product:e4470476-ee38-58ed-b997-5638411e65c2
Đường đi bộ Huế,16.468639,107.595327,Vui chơi,Huế,"mở cửa 18 tháng 9 18:00–02:00 · Đường đi bộ Huế. Loại hình: Cảnh đêm. Địa chỉ: Chu Văn An/Phạm Ngũ Lão Võ Thị Sáu, Thuận Hóa, Huế 49126, Việt Nam. Giờ mở cửa: 18 tháng 9 18:00–02:00. Thời gian tham quan đề xuất: 1–3 tiếng đồng hồ",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/hue-walking-street-136953053/,https://ak-d.tripcdn.com/images/0102a12000red5cjh34D2.png,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.468639%2C107.595327,product:2caba6f7-6113-59cb-96e1-d8411b7debd4
Hải Vân Quan,16.187738,108.131294,Vui chơi,Huế,"mở cửa 07:00–17:30 · Hải Vân Quan. Loại hình: Thắng cảnh lịch sử. Địa chỉ: Chân Mây - Lăng Cô, Huế, Việt Nam. Giờ mở cửa: 07:00–17:30",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/hi-vn-quan-137069029/,https://ak-d.tripcdn.com/images/0HJ4j12000gmnxlix4388.jpg,trip.com,exact,cách tâm Huế 66 km,https://www.google.com/maps/search/?api=1&query=16.187738%2C108.131294,product:00a9190f-b52f-5d5f-a769-313434d6727e
Hiếu Lăng - lăng mộ Hoàng đế Minh Mạng,16.387539,107.570247,Vui chơi,Huế,"từ 165.000₫ · mở cửa 07:30–17:00 · Đây là một trong những lăng tẩm nổi tiếng trong lịch sử Việt Nam, đồng thời cũng là một công trình kiến trúc tráng lệ. Nó được xây dựng để tưởng nhớ Minh Mạng - vị hoàng đế thứ hai của triều Nguyễn. L",1,165000,true,,https://vn.trip.com/travel-guide/attraction/hue/mausoleum-of-emperor-minh-mang-142341970/,https://ak-d.tripcdn.com/images/0101g120008jny7ub3BB5.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.387539%2C107.570247,product:0bd5ed53-b7c6-53fd-b3af-e492f359be70
Hồ Thuỷ Tiên,16.407873,107.57859,Vui chơi,Huế,"mở cửa Mở cửa cả ngày · Hồ Thuỷ Tiên. Địa chỉ: Thủy Xuân, Huế, Việt Nam. Giờ mở cửa: Mở cửa cả ngày",1,,false,,https://vn.trip.com/travel-guide/attraction/hue/thuy-tien-lake-abandoned-water-park-61885483/,https://ak-d.tripcdn.com/images/0ww3s12000cf35sewC65B.jpg,trip.com,exact,,https://www.google.com/maps/search/?api=1&query=16.407873%2C107.578590,product:f5448636-6dfc-5ddf-a4ae-711ae8127f26
